Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
"148874:""2020-06-20T06:29:06Z,2020-06-20T06:26:23Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,
148905:""2020-06-20T06:29:06Z",2020-06-20T06:26:23Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,34751
"148916:""2020-06-20T07:30:05Z,2020-06-20T07:21:25Z,#FelizSábado,http://twitter.com/search?q=%23FelizS%C3%A1bado,%23FelizS%C3%A1bado,
148950:""2020-06-20T07:30:05Z",2020-06-20T07:21:25Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,34151
"150309:""2020-06-21T17:03:34Z,2020-06-21T16:58:49Z,#FelizDiaDelPadre,http://twitter.com/search?q=%23FelizDiaDelPadre,%23FelizDiaDelPadre,95421
150326:""2020-06-21T18:04:37Z",2020-06-21T17:58:50Z,Felipe y Letizia,http://twitter.com/search?q=%22Felipe+y+Letizia%22,%22Felipe+y+Letizia%22,15743
"150730:""2020-06-22T06:17:01Z,2020-06-22T06:10:05Z,#FelizSemana,http://twitter.com/search?q=%23FelizSemana,%23FelizSemana,
150739:""2020-06-22T06:17:01Z",2020-06-22T06:10:05Z,Felipe y Letizia,http://twitter.com/search?q=%22Felipe+y+Letizia%22,%22Felipe+y+Letizia%22,24776
"150805:""2020-06-22T08:18:59Z,2020-06-22T08:15:10Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,
150823:""2020-06-22T08:18:59Z",2020-06-22T08:15:10Z,Felipe y Letizia,http://twitter.com/search?q=%22Felipe+y+Letizia%22,%22Felipe+y+Letizia%22,26369
"168084:""2020-07-08T14:50:26Z,2020-07-08T14:46:38Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,%23FelizMiercoles,22120
168314:""2020-07-08T19:55:33Z",2020-07-08T19:53:29Z,#PírateYaFelipeVI,http://twitter.com/search?q=%23P%C3%ADrateYaFelipeVI,%23P%C3%ADrateYaFelipeVI,
"168353:""2020-07-08T20:56:33Z,2020-07-08T20:53:30Z,#PírateYaFelipeVI,http://twitter.com/search?q=%23P%C3%ADrateYaFelipeVI,%23P%C3%ADrateYaFelipeVI,
168396:""2020-07-08T21:57:34Z",2020-07-08T21:53:25Z,#PírateYaFelipeVI,http://twitter.com/search?q=%23P%C3%ADrateYaFelipeVI,%23P%C3%ADrateYaFelipeVI,
"168435:""2020-07-08T22:58:35Z,2020-07-08T22:53:23Z,#PírateYaFelipeVI,http://twitter.com/search?q=%23P%C3%ADrateYaFelipeVI,%23P%C3%ADrateYaFelipeVI,
168476:""2020-07-08T23:59:35Z",2020-07-08T23:58:19Z,#PírateYaFelipeVI,http://twitter.com/search?q=%23P%C3%ADrateYaFelipeVI,%23P%C3%ADrateYaFelipeVI,
"168567:""2020-07-09T02:01:37Z,2020-07-09T01:53:20Z,#PírateYaFelipeVI,http://twitter.com/search?q=%23P%C3%ADrateYaFelipeVI,%23P%C3%ADrateYaFelipeVI,
168587:""2020-07-09T03:02:36Z",2020-07-09T02:58:19Z,#PírateYaFelipeVI,http://twitter.com/search?q=%23P%C3%ADrateYaFelipeVI,%23P%C3%ADrateYaFelipeVI,
"168631:""2020-07-09T04:03:38Z,2020-07-09T03:58:16Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,
168657:""2020-07-09T04:03:38Z",2020-07-09T03:58:16Z,#PírateYaFelipeVI,http://twitter.com/search?q=%23P%C3%ADrateYaFelipeVI,%23P%C3%ADrateYaFelipeVI,
"168676:""2020-07-09T05:04:36Z,2020-07-09T04:58:15Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,
168719:""2020-07-09T05:04:36Z",2020-07-09T04:58:15Z,#PírateYaFelipeVI,http://twitter.com/search?q=%23P%C3%ADrateYaFelipeVI,%23P%C3%ADrateYaFelipeVI,
"168726:""2020-07-09T06:05:34Z,2020-07-09T06:03:16Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,
168769:""2020-07-09T06:05:34Z",2020-07-09T06:03:16Z,#PírateYaFelipeVI,http://twitter.com/search?q=%23P%C3%ADrateYaFelipeVI,%23P%C3%ADrateYaFelipeVI,
"168876:""2020-07-09T09:08:25Z,2020-07-09T09:03:18Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,
168886:""2020-07-09T09:08:25Z",2020-07-09T09:03:18Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,10351
"168927:""2020-07-09T10:09:22Z,2020-07-09T10:03:20Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,
168938:""2020-07-09T10:09:22Z",2020-07-09T10:03:20Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,11360
"168979:""2020-07-09T11:10:20Z,2020-07-09T11:03:23Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,10056
168993:""2020-07-09T11:10:20Z",2020-07-09T11:03:23Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,12453
"169032:""2020-07-09T12:11:22Z,2020-07-09T12:03:26Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,12341
169044:""2020-07-09T12:11:22Z",2020-07-09T12:03:26Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,13743
