Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
"12216:""2020-03-28T07:04:57Z,2020-03-28T07:00:00Z,#FelizSábado,http://twitter.com/search?q=%23FelizS%C3%A1bado,%23FelizS%C3%A1bado,
12266:""2020-03-28T08:05:51Z",2020-03-28T08:00:07Z,#FelizSábado,http://twitter.com/search?q=%23FelizS%C3%A1bado,%23FelizS%C3%A1bado,
"12316:""2020-03-28T09:06:45Z,2020-03-28T09:00:50Z,#FelizSábado,http://twitter.com/search?q=%23FelizS%C3%A1bado,%23FelizS%C3%A1bado,
12366:""2020-03-28T10:07:40Z",2020-03-28T10:00:50Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,
"12416:""2020-03-28T11:08:35Z,2020-03-28T11:05:51Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,
12469:""2020-03-28T12:09:31Z",2020-03-28T12:00:52Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,10534
"12518:""2020-03-28T13:10:29Z,2020-03-28T13:03:03Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,14288
12568:""2020-03-28T14:11:27Z",2020-03-28T14:08:02Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,18808
"12590:""2020-03-28T14:11:27Z,2020-03-28T14:08:02Z,Felicidades Amancio,http://twitter.com/search?q=%22Felicidades+Amancio%22,%22Felicidades+Amancio%22,
12618:""2020-03-28T15:12:27Z",2020-03-28T15:08:06Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,23878
"12720:""2020-03-28T17:14:27Z,2020-03-28T17:13:10Z,Felicidades Amancio,http://twitter.com/search?q=%22Felicidades+Amancio%22,%22Felicidades+Amancio%22,
12744:""2020-03-28T17:14:27Z",2020-03-28T17:13:10Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,33979
"13157:""2020-03-29T01:22:22Z,2020-03-29T01:17:57Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,
13206:""2020-03-29T02:23:19Z",2020-03-29T02:22:54Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,
"13251:""2020-03-29T03:24:15Z,2020-03-29T03:19:21Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,
13321:""2020-03-29T05:26:08Z",2020-03-29T05:19:18Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,
"13367:""2020-03-29T06:27:03Z,2020-03-29T06:19:19Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,
13416:""2020-03-29T07:27:58Z",2020-03-29T07:19:24Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,
"13466:""2020-03-29T08:28:53Z,2020-03-29T08:26:04Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,
13516:""2020-03-29T09:29:48Z",2020-03-29T09:21:05Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,
